sentence,class
'Continuar mandando dics e extratos',positiva
'Tudo',negativa
'Atualizar os extratos de vendedor em tempo real ou ao menos diário',negativa
'Está ótimo',positiva
'Mandar informações referente a minha função em loja  para que eu possa ter mais qualidade e ajudar as lojas de minha responsabilidade a vender mais serviços e vendas no carnê. Sugestão tecnicas para desenvolver pessoas  numeros de indicadores de lojas de minha responsabilidade  ex: campanhas e premios. Quem ganhou estrela na loja e outros.',positiva
'Passando para mim e para os vendedores os números de eficiência e cdc com valores monetários para seu atingimento  seria mais claro para buscar o resultado final',positiva
'Poderíamos acessar o resultado do looqbox aqui mesmo. Por exemplo só colocando o nome do colaborador',positiva
'Por enquanto não.',positiva
'Dicas do via lider e o fechamento das metas um resumo total do mês o que não ocorre  mas sei que vc consegue e está trabalhando por nós e com nós  obrigado minha pequena Eva.',positiva
'Mensurar o extrato de vendas por semana e mês',positiva
'Ser mas objetiva no dia a dia !!! Com resposta sobre as perguntas que possa fazer a você por exemplo.',negativa
'Ser mais objetivo nos conteúdos',negativa
'Continuar mandando projeção de premiação é extrato de venda uma vez ao dia + dicas ir do dia',positiva
'Quanto falta para minha meta',positiva
'Nos passando com firmeza uma real forma de podermos calcular nossas comissões para q possamos calcular nossos ganhos..',negativa
'Pra mim está ótimo os conteúdos..',positiva
'Melhor forma de pagamento para os clientes  e muitas promoções',positiva
'Aumentar as informações gerências',positiva
'Mais sobre as vendas e eficiência e cdc',positiva
'Dar muito mais opinião',positiva
'Continuar com os informativos do dia a dia da empresa',positiva
'melhorar a forma de pagamento da premiação dos vendedores',positiva
'Nenhuma',positiva
'Me enviasse mas dicas e extratos do meu time',positiva
'Ela   poderia me disponibilizar meu banco de horas',positiva
'Sem sugestões',positiva
'Q acompanhace o preço nosso da internet em relação a alguns produtos',positiva
'Os meus serviços não estão acumulando valor dos seguros só das garantias onde os valores acabam não sendo atualizados corretamente',negativa
'Nossa premiação',positiva
'Ter mensagens direcionadas para visão da Regional',positiva
'Vc está indo em ritmo bom. Trazendo informações que ajuda no nosso dia a dia',positiva
'Informações sobre a promoções do dia',positiva
'Mais dicas sobre garantia de móveis...para que eu possa melhirar',positiva
'Pra mim está ótimo',positiva
'Disponibilizar algum auxílio para sistema via mais',positiva
'Me manter sempre informado   sobre minhas vendas e me dar sugestões de como melhorar  parabéns pelo app Eva ajuda muito os vendedores de uma forma bem objetiva.',positiva
'Treinamentos',positiva
'Política de troca atualizada',positiva
'Precisa mais interatividade  acontece muito erro e não responde o que perguntamos já melhorou bastante mais ainda pode ficar melhor.',negativa
'Como fazer serviço',positiva
'Msg todos os dias',negativa
'Sempre nos informando e nos deixando sempre atualiazados',positiva
'Receber mais informações sobre o resultado da minha equipe',positiva
'Uma avaliação trimestral sobre a equipe com foco nos baixa performance ir..cdc.. mercantil..eficiência..via Mais..',positiva
'Mandar as cestas diariamente',positiva
'No momento não tenho nada em mente',positiva
'Nada',positiva
'Poderia enviar para todos os cargos as informações correspondente ao desempenho individual',positiva
'Gostaria de saber a taxa de conversão dos meus liderados. Itens  de produto para cada cliente. E Tickt médio.  Sei q no looqbox  já  dá  os ticket porém  poderia passar diariamente individual para todos vendedores.',positiva
'Antes estava ótimo agora parou tudo não manda mais premiação  estrelas semanal  dicas de produtos...',negativa
'Mandar mensagem de acordo com o setor pois recebemos mensagem de outros setores que não vendemos',negativa
'Ofertas de produtos com melhor ir',positiva
'Continua mandando suas opiniões e sugestões',positiva
'Muito bom !!',positiva
'continuar assim  sempre',positiva
'Ser mais atualizada',negativa
'Atualização das vendas e serviços mais rápido.',negativa
'Me incentivar dando me reconhecimento',positiva
'Ter outras opções no menu  por exemplo  ter opção venda de serviços  tipos de serviços para sempre relembrar os benefícios de cada um e ter cada vez melhores argumentos para utilizar.',positiva
'Continuei assim.',positiva
'Informações mais atualizadas sobre a vendas e os serviços  igual o looqbox.',negativa
'Mandar separadamente com frequência qual gatilho está ilegível ao prêmio',positiva
'Mais dicas sobre minhas funçoes',positiva
'Especificar melhor o extrato separando entre serviços  recarga  expressa etc..',positiva
'Mostra nosso desempenho mais detalhado  para que assim a gente possa mudar  caso esteja ruim e melhorar  caso já esteja bom',positiva
'Resultados diários',positiva
'Me dar dicas de vende mas serviços',positiva
'Tipo não está me enviando minhas vendas',negativa
'Passar informações diárias e dando idéias de como vender o serviço',positiva
'NADA',positiva
'que indicasse produto sem juros no cartão produto que aceite algum desconto para negociar o serviço',positiva
'Atualizações diárias',positiva
'Mandar mensagem em horário de funcionamento das lojas  não muito tarde. E ter mais opções de busca de informações por parte de quem envia mensagem.',negativa
'Você ajuda muito não tenho dica mas em breve terei',positiva
'Passar os resultados de acordo com lookbox',negativa
'Enviar extrato detalhado de serviços por familia',positiva
'Todas as estrelas da loja  no EVVA do gerente.',positiva
'Vai me ajudar muito as informações   estou aprendendo  muito  com esse aplicativo.',positiva
'Acompanhamento ser diário',positiva
'No caso de telefonia enviar também o percentual de atingimento de meta mobile',positiva
'Encaminhando mais mensagens do meu interesse',negativa
'Mandar as informações na parte da manhã para melhor se programar e repassar para equipe',negativa
'Estou super satisfeito cada msg gera uma motivação então pra mim está ótimo. Continue assim',positiva
'Opções de produtos   variedades.  Caixa não é vendedor.',negativa
'Nada',positiva
'Rever horários',negativa
'No momento não tenho perguntas',positiva
'Enviar mensagem mais vezes em valor monetário o que falta para atingir os objetivos',positiva
'Muito bom parabéns',positiva
'Nada a declarar',positiva
'Detalhar enviar as principais ofertas da concorrência do dia',positiva
'Focar mais nas práticas do lider',positiva
'Gostaria que aparecesse as vendas feitas no via mais',positiva
'Nos ultimo dia atualuzar o nosso extrato pos a vezes por pouco perdemos as premiacao',positiva
'Informações sobre tecnologia',positiva
'tenho dúvida  se esses valores e real',negativa
'Um pouco mais de agilidade no envio de informações e feedback por meio do app',negativa
'Enviar mais informações em geral.',positiva
'Que as atualizações sejam liberadas todos os dias',negativa
'Como melhorar a venda de serviços',positiva
'Passar mais informacoes',positiva
'Continuar como está...',positiva
'Sensacional',positiva
'Sempre manter atualizado',negativa
'Responder perguntas abertas..',positiva
'No momento não obrigado',positiva
'Seria bom ver o extrato diário',positiva
'Ok',positiva
'Mandar o prêmio corretamente',negativa
'Ter mais informações para a área fixa e estoque.',positiva
'Me ajudar como oferecer seguros',positiva
'Interação com o usuário de forma que compreenda os comandos.',negativa
'Mas conteúdo sobre serviços',positiva
'Mim manda em embora faço as coisas focada e não é satisfatório mais não com aplicativos sim a empresa viavarejo',positiva
'Continue assim',positiva
'Consegui manda os vendedores desmotivados que a empresa ensiste principalmente eu',positiva
'Vendas feitas pelo via+  banco de horas',positiva
'Mostrar o resultado diariamente',positiva
'Mostrar pagamento',positiva
'Mas conteúdos',positiva
'Eviar relatorios de vendas categoria sevicos e vcs dos liderados individual',positiva
'Indicadores diário',positiva
'Ofertas',positiva
'Passa o extrato do cauda longa',positiva
'No final do mes vc para de mandar as premiaçao tem que continuar',negativa
'Insentivar mais o vendedor',positiva
'Com mais curso',positiva
'Metas diárias.',positiva
'Ser mais claro os valores de comissão',negativa
'Tô entendendo tudo',positiva
'Estou gostando das dicassicas',positiva
'Responde mas perguntas além do rendimento',negativa
'Mais treinamentos sobre tecnicas e situacoes problemas',negativa
'Que atualização seja diária.',positiva
'Mandando meu extrato de vendas de serviços em tempo real!',negativa
'Falar comigo',negativa
'Números individuais',positiva
'Dicas sobre vendas',positiva
'A melhora os serviços',positiva
'Sem comentários',positiva
'Metas diaria',positiva
'Atualização de vendas por hora e não por dia',negativa
'Deixar eu respirar',negativa
'Tudo ok',positiva
'Mostrar também os ganhos das vendas de plano Mobile',positiva
'Eu acho muito importante a maneira que vc nos ensina o modelo correto para que possamos obter um melhor desempenho.',positiva
'Extrato de vendas',positiva
'Por enquanto nenhuma',positiva
'Muito bom',positiva
'Gosto das dicas de aprendizado  pode continuar me enviando.',positiva
'Mandar todos os dias pela manhã   as promoções do meu setor .',positiva
'Continue assim',positiva
'Não tenho sugestão',positiva
'Atual de cota',positiva
'Mandar promoções do dia dia',positiva
'Informações dos produtos',positiva
'Ta tudo otimo',positiva
'Colocar os valores diários pra vender .',positiva
'Atualização mas rápido',negativa
'Metas diarias',positiva
'Continuar  mantendo a insencao  de montagem . E manter o incentivo de 1 %',positiva
'Mas dicas',negativa
'Mandar sugestão no dia a dia logo pela manhã de produtos que possamos vender com melhor ir.',negativa
'Sugiro que o envio de resultados e premiação seja enviado com mas frequência para ficarmos mais informados sobre nossos rendimentos.',negativa
'Sobre meus resultados eficiência',positiva
'Nao',positiva
'Mais informação',negativa
'Reposta mais rapida',negativa
'vendas imediatas',positiva
'Mandar mas números sobre a cota',positiva
'Responder as perguntas solitadas',negativa
'Mais informações',negativa
'nada a declarar',positiva
'Que vc possa comparar com vender do mesmo setor e não com a loja toda',negativa
'Tá bom',positiva
'Tudo',negativa
'Como posso vender melhor',positiva
'Dados dos vendedores',positiva
'Mais rapidez',negativa
'Deveria colocar algum tipo de meta de vendas p estoquista',positiva
'Não sei',positiva
'Gostaria que em vez da porcentagem que mandasse os valores da cota tbm',positiva
'Perturbar menos',negativa
'CDC mais detalhado',positiva
'Disponibilizasse os resultados dos meus liderados no evva tb para que eu possa ter na mão seus resultados individuais.',positiva
'Nenhuma para mim estão todas boas. Obrigada pelas dicas??',positiva
'Mandar mais dicas',negativa
'Nada',positiva
'As mensagens da evva nem chegam  essa pesquisa está equivocada  não dá pra opinar',negativa
'No momento nada a declarar',positiva
'Nós incentivando  pois tem dias que não são fáceis  e uma mensagem de cobrança não é legal.',negativa
'Obter mais detalhes',negativa
'Acho que teria que mandar mensagens com mais frequencia',negativa
'Sem comentários',positiva
'Ter resposta de perguntas abertas',positiva
'Para de manda mensagem. Não aguento mais tanta mensagem e cobrança',negativa
'Dicas de como vender serviços pois sou nova nas vendas',positiva
'Nada a fakar',positiva
'Dar dicas de como vender seguro mais fácil',positiva
'Está ótimo... parabéns',positiva
'Simulações de que pilares tenho que vender para aumentar meu prêmio',positiva
'Ser precisa até o último dia do mês  no dia seguinte já informar sobre a premiação',negativa
'Melhorar a interação',negativa
'Ok',positiva
'Coloca Se o valor de nossa meta diária individual',positiva
'Atualizar informações pois não coincidem com o lookbox',negativa
'Mais informações sobre as informações da loja',negativa
'Mandar mensagem diaria sobre meta',positiva
'Oportunidades',positiva
'Que disponibiliza ser as vendas descriminadas',positiva
'Por enquanto  nenhuma',positiva
'Nenhuma',positiva
'obrigadp',positiva
'Interagir mais',negativa
'Show',positiva
'A premiação não deveria ter limites pré determinados  ex:  se o vendedor sente-se valores 10  20  30 porcento ou mais que a cota seja ela monetária ou serviços  ou qualquer outro indicativo  o vendedor que ja entregou  todo até o dia 20 ou 25 não iria tirar o pé.',positiva
'Tá tudo certo',positiva
'Mandar os resultados diariamente',negativa
'Dicas de vendas de serviços',positiva
'Com Rapidez Mostrar O Valor Dos Serviços.',negativa
'As vendas no calda longa  pois fiz uma venda e a evva não atualizou',negativa
'Mandar meu extrato de vendas diariamente  com dicas de como melhorar',negativa
'Mais vídeos de serviços',negativa
'Falando sobre dicas de fechamento',positiva
'Esta tudo ótimo',positiva
'Mais opções de extrato',negativa
'Está indo muito bem',positiva
'Sempre manter informado do meu resultados',positiva
'Novas pesquisas',negativa
'incentivando a fazer serviços cada vez mais',positiva
'deixar a gente focar mais na venda serviço  é  consequência',positiva
'Nenhuma sugestão',positiva
'Mostrar o nosso contracheque no fechamento',positiva
'Pra mim está tudo ok',positiva
'Me passa mais dicas sobre vendas de servico',positiva
'Mas interatividade no comando das perguntas',negativa
'Tudo ok',positiva
'dicas para vender serviços',positiva
'No momento nada',positiva
'Ser mais rapida no envio da minha premiação mensal',negativa
'Por enquanto estou satisfeita!!',positiva
'Quando o mês fechar ser mais rápida no envio da minha  premiacao mensal....',negativa
'Ter mais comandos',negativa
'Enviar todos os dias os resultados da loja atualizado',positiva
'Resultados parciais no final do dia',positiva
'Muito bom app  continuem assim  estão de parabéns.',positiva
'Tá tudo certo',positiva
'Numerous diaries do todos OS vendedores',positiva
'Sem sugestão',positiva
'Enviar sempre informações importantes .',positiva
'Sempre mostra a progressão de Premium',positiva
'Ta tudo ótimo  obrigada!',positiva
'Ampliar a leitura da Inteligência Artificial para que possamos fazer perguntas abertas ao sistema',negativa
'Mandar mais mensagens  e links com frequência',negativa
'Nada a declarar',positiva
'Não tenho sugestões',positiva
'Os resultados no final do mês deveriam ser mais frequentes',negativa
'Irformar em tempo real o que a loja precisa melhorar no dia',negativa
'Dicas de como vender serviços',positiva
'Passar diariamente ou com uma frequencia maior  os meus resultados. E talvez por aqui um acesso direto com o clube de prêmios.',negativa
'Mostrar os extratos que vemos no looqbox',negativa
'Mandar resultado de vendas diária',negativa
'Dicas de vendas',positiva
'Por enquanto não tenho sugestão para dar mais em breve sim.',positiva
'Acho que esta tudo bem',positiva
'Continue assim',positiva
'Continue assim',positiva
'Eficiência quanto preciso fazer dia',positiva
'Nenhuma',positiva
'Nada a declarar',positiva
'Mandar troféus referente às estrelas ganham',positiva
'Atualizaçao da premiação mais rápido',negativa
'Sem sugestões',positiva
'Nenhuma',positiva
'Podia ter atualização mais ágil e diária',negativa
'mandar mais informações como I.R dos vendedores',positiva
'Sem comentários',positiva
'Não  tão interesse',positiva
'Me direciona no dia Do passo atrás me dizer quem precisa naquele dia se verificado o atendimento.',positiva
'Premiacao 3 %',positiva
'No momento NÃO',positiva
'Muito bom esse aplicativo não mudaria nada',positiva
'Iinformar diariamente produtos comvo IR mais elevado!',positiva
'O bacana seria informacoes como metas e desafios diários divididos em setores que tenham mais gap. Informacoes mais simples e objetivas em relação a produtos em destaque porta de loja ou com melhor oportunidade.',positiva
'Passa informações interessantes  não passar qualquer coisa  só para dizer que está mandando',negativa
'Continua com os feedback pontual',positiva
'Q possamos responder quando houver duvida',positiva
'Mais detalhes sobre produtos',positiva
'Continue',positiva
'Nada a declarar',positiva
'Continuar mandando dicas para vender o serviços',positiva
'Responder o que pergunto',negativa
'O extrato mais atualizado',negativa
'Manda mais sugestões de venda',positiva
'Poderia atualizar o extrato por horas',negativa
'Mais informacoes sobre sevicos',positiva
'Chegada de novidades para cada filial',positiva
'Manda as mensagens com mais frequência  e com mais precisão',negativa
'Muito obrigado',positiva
'As atualizações mais rápido',negativa
'Só acho que quando não estamos atingindo os requisitos vc consegue deixar agente mais pra baixo falando dos colegas pois não me interesso pelos os resultados dos colegas somente com os meus',negativa
'Sempre bom receber ajuda',positiva
'Muito bom',positiva
'Foto com flyers promocionais para repassar aos clientes atualizadas diariamente',positiva
'Mandar mensagens com conteúdos sobre produtos com mais frequência',positiva
'Mandar conta diariamente',negativa
'Mandando meu extrato de vendas com mais frequência',negativa
'Continuação do conteúdo muito bom',positiva
'Pelo menos um extrato diário assim que sair atualização.',negativa
'ASSUNTOS RELACIONADOS A ASSISTENCIA TÉCNICA',positiva
'falar com mais frequência',negativa
'Mandar mensagens mais atualizadas',negativa
'Demonstrativo de ponto e pagamento seriam bem legais de exibir pela Evva',positiva
'Manda a mesma coisa a todo momento  não está funcionando corretamente. Toda vez que abro o aplicativo  carrega 1 milhão de coisas.... fico até perdido.',negativa
'No momento  estou satisfeito com a informações que tenho recebido.',positiva
'Mandar mais dicas.',positiva
'Nao',positiva
'Bom',positiva
'Nenhuma sugestão',positiva
'Enviar constantemente extratos  e sugestões',negativa
'Mensagem de incentivo  mensagem de pensamento positivo',positiva
'Mandar o extrato final do mês e o que ganhei de premiação',positiva
'Gostaria que me respondesse o q realmente pergunto',negativa
'Continue assim',positiva
'enviar sugestão de outros indicadores ex cdc',positiva
'Nenhuma',positiva
'Me ajudar ganhar mais dinheiro',positiva
'Estou satisfeito',positiva
'Nada',positiva
'Deixa de compara com vendendo de outros vendedores de setores diferentes ok',negativa
'Perfeito',positiva
'Colocar o resultado individual dos colaboradores dos guarda chuva..de casa setor..??',negativa
'falar sobre premiacao gerencial',positiva
'Resultado das lojas',positiva
'Os dados do banco de horas ser mais atualizado',negativa
'Enviar mensagens com mais frequência',negativa
'Pode me avisa no começo do mês',negativa
'Melhorar a premiação dos vendedores. Ex. Como a SEMP TOSHIBA (A cada 100 produtos vendidos do mesmo fabricante ) o vendedor ganhava 1 prêmio.Ou os seguros que vendemos (A uma certa QTDE  VENDIDA a LOJA da uma premiacao ao cliente e ao vendedor.',negativa
'Tirar minhas dúvidas',negativa
'Gostaria que chegasse a diretoria a minha insatisfação com a nova política de premiação dos vendedores  onde não concordo com o item carne como parte de atingimento de metas para conseguir a premiação.',negativa
'Atualizar mais rapidamente o extrato diário. Obrigada.',negativa
'Todas',negativa
'Reconhecer comandos como ir/meta serviço/carne',negativa
'Nenhuma',positiva
'Todos os dias de manhã passar o valor de ganho monetario',negativa
'Nada',positiva
'Valor correto da premiaçao',negativa
'Enviar mais vídeos',positiva
'Responder as perguntas',negativa
'Ter uma opção ja pronta para perguntas  um formulário no aplicativo para fazer perguntas',positiva
'Incentivar',negativa
'responde  nossa  perguntas hora certa',negativa
'Estou satisfeita',positiva
'Ok',positiva
'Mandar mais informações sobre premiação',positiva
'Sugestao Feedback vendedores',positiva
'Eu acho que está tudo ótimo ok estou gostando muito obg',positiva
'Preciso d alertas sobre atividades voltado para a função de Cal e Sal  os conteúdos que estão vindo  em sua grande maioria são voltados para a área de vendas.',negativa
'Explicar mais sobre os serviços',negativa
'Só mandar os resultados com mais frequência durante dia',negativa
'Atualizar as cotas todo dia e nao de 3 dias atras',negativa
'Disponibilizar consulta de valores no próprio informativo.....',negativa
'mais perguntas sobre fluxo pois nao sou responsavel pelos carnês.',negativa
'Tudo perfeito',positiva
'Mais produtos   argumentos',negativa
'Nos enviando novas dicas como atender aos clientes e ofertar nossos serviços',positiva
'Nenhuma',positiva
'Resultados diarios',negativa
'Tá bom',positiva
'nenhuma',positiva
'Me dar uma chance de poder responder as mensagens',negativa
'Passar informação dar meta diária de cada colaborador ao invés da mensal muitos assimilam melhor',negativa
'Oi Boa tarde! Falar das promoções de móveis. Obrigada',positiva
'Como ativar campanhas através do app',positiva
'Ao deixa de falar da premiação',negativa
'Deixar que a gente consiga buscar informações aleatórias para utilizar no dia a dia com colaboradores',positiva
'Mandar as mensagens mais cedo',negativa
'O extrato também aparecer minhas cotas em valores',negativa
'Está muito bom',positiva
'Questionar mais',negativa
'Ok',positiva
'Ótimo',positiva
'Nada a declarar',positiva
'Que a Eva mande produtos com margem de desconto pra negociação',positiva
'está ótimo',positiva
'Dicas e extrato em tempo real',negativa
'Conhecimento de produtos e tecnicas de fechamento',positiva
'Ok',positiva
'Mandar mais vezes',negativa
'Tá bom',positiva
'Dá sujestão de ganhos.',positiva
'Top sku',positiva
'Mandar diariamente minha premiação',negativa
'Mandar as mensagem uma ou duas vezes por dia',negativa
'Está bom assim',positiva
'Não gostei',negativa
'Motivacionais',positiva
'Ter como perguntar e receber uma resposta do minha dúvida',negativa
'Eu virar vendendedor',positiva
'Nem',positiva
'Pelo menos duas vezes por semana',negativa
'Nenhuma',positiva
'Continue',positiva
'Continue assim',positiva
'Parar de comparar vendedores  pois cada um tem sua capacidade .',negativa
'Menu com dados em tempo real dos vendedores',negativa
'Está ótimo',positiva
'Vendas diárias atualizadas igual ao lokkbox',negativa
'Gostaria que os indicadores fossem atualizados com maior frequência',negativa
'Dicas de fechamento e valores monetários',positiva
'Parabéns',positiva
'Tudo pode melhor um pouco. Acho q falando os valores exato dos pilares.',positiva
'Me passa as cotas diarias',negativa
'nao',positiva
'O que falta para eu cumprir meus objetivos todos os dias.',negativa
'Mandar um resumo diário e acumulado das minhas vendas',negativa
'Ndc',positiva
'Trazer resultados referentes a área fixa   com informações de como atingir as metas',positiva
'Falar sobre a folha de pagamento   detalhando para todos entender o que é descontado e o que foi creditado',positiva
'Nós facilitar quando tiver cursos disponíveis',positiva
'Mais informações sobre categorias.',negativa
'Mandar mais dicas e treinamentos sobre produtos',negativa
'Mostra os IR das mercadorias',positiva
'Acho que tem vindo mensagem demais  eu abro o aplicativo e é descarregada muitas e muitas mensagens de uma vez só.',negativa
'Mandar os resultados com mais frequência',negativa
'Eu acredito que foram implementadas ferramentas que auxiliam muito no dia a dia  continuem assim',positiva
'Poder inputar melhorias',positiva
'Curso sobre produtos',positiva
'está adequado',positiva
'Divulgar performance individual do dia anterior de cada vendedor',negativa
'Deveria colocar pontos onde vcs esta ruim.colocar dados e produtos com melhor ir e dicas com Serviços para melhorar',positiva
'Deve mandar todos os dias inclusive qdo vira o mês o fechamento',negativa
'Todos os dias pela manhã  mostrar o resultado do vendedor no dia anterior.',negativa
'Mandar os produtos q estão na cesta 1',positiva
'Práticas movve',positiva
'Ser ainda mais objetivo',negativa
'Falar sobre Premiação  de um modo fácil',negativa
'Dar mais sugestões em relação a serviço',negativa
'Nada',positiva
'Sobre metas e preparação de loja a msg poderia chegar mais cedo tipo umas 8:30hrs',negativa
'Planos de ação direcionado para cada colaborador',positiva
'Pagamento',positiva
'Me direcionando para que eu consiga performar melhor nos indicadores de cal',positiva
'Nada a declarar',positiva
